id,R,S
clover,ft1_r.txt,ft1_cl_1.txt
grass,ft_r2.txt,ft_grass_1.txt
concrete,ft_ref3.txt,ft_conc_1.txt
White-SRT08,ft_ref3.txt,ft_white.txt
clover,ft_ref_4.txt,ft_clov_2.txt
grass,ft_ref_6.txt,ft_grass_2.txt
concrete,ft_ref_7.txt,ft_conc_2.txt
clover,ft_ref_8.txt,ft_clov_3.txt
grass,ft_ref_9.txt,ft_grass_3.txt
concrete,ft_ref_10.txt,ft_conc3.txt
clover,ft_ref_11.txt,ft_clov_4.txt
grass,ft_ref12.txt,ft_grass_4.txt
concrete,ft_ref_13.txt,ft_conc_4.txt
clover,ft_ref_15.txt,ft_clov_5.txt
grass,ft_ref_16.txt,ft_grass_5.txt
concrete,ft_ref_17.txt,ft_conc_5.txt
clover,ft_ref_18.txt,ft_clov_6.txt
grass,ft_ref_19.txt,ft_grass_6.txt
concrete,ft_ref_20.txt,ft_conc_7.txt
clover,ft_ref_21.txt,ft_clov_7.txt
grass,ft_ref_22.txt,ft_grass_7.txt
concrete,ft_ref_23.txt,ft_conc_8.txt
grass,ft_ref_24.txt,ft_grass_8.txt
